2025-07-28 12:43:57 | ep 01 | step 53/433 | loss 3.0017 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:58 | ep 01 | step 54/433 | loss 3.0955 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:59 | ep 01 | step 55/433 | loss 3.0795 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:59 | ep 01 | step 56/433 | loss 3.0130 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:00 | ep 01 | step 57/433 | loss 3.0036 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:01 | ep 01 | step 58/433 | loss 3.0726 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:02 | ep 01 | step 59/433 | loss 3.1150 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:02 | ep 01 | step 60/433 | loss 3.0624 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:03 | ep 01 | step 61/433 | loss 3.1187 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:04 | ep 01 | step 62/433 | loss 3.0995 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:05 | ep 01 | step 63/433 | loss 3.0898 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:06 | ep 01 | step 64/433 | loss 2.9995 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:06 | ep 01 | step 65/433 | loss 2.9843 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:07 | ep 01 | step 66/433 | loss 3.0128 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:08 | ep 01 | step 67/433 | loss 2.9748 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:09 | ep 01 | step 68/433 | loss 2.9869 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:09 | ep 01 | step 69/433 | loss 3.0309 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:10 | ep 01 | step 70/433 | loss 2.9960 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:11 | ep 01 | step 71/433 | loss 2.9446 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:12 | ep 01 | step 72/433 | loss 2.9523 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:13 | ep 01 | step 73/433 | loss 3.0673 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:13 | ep 01 | step 74/433 | loss 2.9217 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:14 | ep 01 | step 75/433 | loss 3.0073 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:15 | ep 01 | step 76/433 | loss 3.0011 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:16 | ep 01 | step 77/433 | loss 3.0493 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:16 | ep 01 | step 78/433 | loss 2.9863 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:17 | ep 01 | step 79/433 | loss 2.9599 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:18 | ep 01 | step 80/433 | loss 3.1194 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:19 | ep 01 | step 81/433 | loss 2.9611 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:20 | ep 01 | step 82/433 | loss 2.9491 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:20 | ep 01 | step 83/433 | loss 2.9095 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:21 | ep 01 | step 84/433 | loss 2.9902 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:22 | ep 01 | step 85/433 | loss 2.9645 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:23 | ep 01 | step 86/433 | loss 2.9638 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:23 | ep 01 | step 87/433 | loss 2.9964 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:24 | ep 01 | step 88/433 | loss 3.0053 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:25 | ep 01 | step 89/433 | loss 2.9760 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:26 | ep 01 | step 90/433 | loss 2.8569 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:27 | ep 01 | step 91/433 | loss 2.8980 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:27 | ep 01 | step 92/433 | loss 2.9441 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:28 | ep 01 | step 93/433 | loss 2.9447 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:29 | ep 01 | step 94/433 | loss 2.9520 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:30 | ep 01 | step 95/433 | loss 2.8796 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:30 | ep 01 | step 96/433 | loss 2.8935 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:31 | ep 01 | step 97/433 | loss 2.9071 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:32 | ep 01 | step 98/433 | loss 2.9784 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:33 | ep 01 | step 99/433 | loss 2.8516 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:34 | ep 01 | step 100/433 | loss 2.9042 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:34 | ep 01 | step 101/433 | loss 2.8179 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:35 | ep 01 | step 102/433 | loss 3.0263 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:36 | ep 01 | step 103/433 | loss 2.8876 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:37 | ep 01 | step 104/433 | loss 2.9231 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:37 | ep 01 | step 105/433 | loss 2.8185 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:38 | ep 01 | step 106/433 | loss 2.8658 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:39 | ep 01 | step 107/433 | loss 2.8241 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:40 | ep 01 | step 108/433 | loss 3.0935 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:41 | ep 01 | step 109/433 | loss 2.8604 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:41 | ep 01 | step 110/433 | loss 2.8770 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:42 | ep 01 | step 111/433 | loss 2.8821 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:43 | ep 01 | step 112/433 | loss 2.9382 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:44 | ep 01 | step 113/433 | loss 2.9344 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:44 | ep 01 | step 114/433 | loss 2.8186 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:45 | ep 01 | step 115/433 | loss 2.9367 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:46 | ep 01 | step 116/433 | loss 2.8058 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:47 | ep 01 | step 117/433 | loss 2.8310 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:48 | ep 01 | step 118/433 | loss 2.8186 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:48 | ep 01 | step 119/433 | loss 2.9099 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:49 | ep 01 | step 120/433 | loss 2.9519 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:50 | ep 01 | step 121/433 | loss 2.8619 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:51 | ep 01 | step 122/433 | loss 2.8303 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:51 | ep 01 | step 123/433 | loss 2.8812 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:52 | ep 01 | step 124/433 | loss 2.8939 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:53 | ep 01 | step 125/433 | loss 2.9500 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:54 | ep 01 | step 126/433 | loss 2.8620 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:55 | ep 01 | step 127/433 | loss 2.8335 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:55 | ep 01 | step 128/433 | loss 2.8325 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:56 | ep 01 | step 129/433 | loss 2.8586 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:57 | ep 01 | step 130/433 | loss 2.8515 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:58 | ep 01 | step 131/433 | loss 2.9175 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:58 | ep 01 | step 132/433 | loss 2.8174 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:44:59 | ep 01 | step 133/433 | loss 2.8813 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:00 | ep 01 | step 134/433 | loss 2.8712 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:01 | ep 01 | step 135/433 | loss 2.8413 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:02 | ep 01 | step 136/433 | loss 2.8347 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:02 | ep 01 | step 137/433 | loss 2.8042 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:03 | ep 01 | step 138/433 | loss 2.8067 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:04 | ep 01 | step 139/433 | loss 2.8533 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:05 | ep 01 | step 140/433 | loss 2.8801 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:06 | ep 01 | step 141/433 | loss 2.8581 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:06 | ep 01 | step 142/433 | loss 2.8343 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:07 | ep 01 | step 143/433 | loss 2.8174 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:08 | ep 01 | step 144/433 | loss 2.9088 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:09 | ep 01 | step 145/433 | loss 2.7839 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:09 | ep 01 | step 146/433 | loss 2.7718 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:10 | ep 01 | step 147/433 | loss 2.8131 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:11 | ep 01 | step 148/433 | loss 2.8328 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:12 | ep 01 | step 149/433 | loss 2.8055 | v_img 1.02e+00 | v_tab 1.02e+00
